number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_gamma,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators,params_reg_alpha,params_reg_lambda,params_scale_pos_weight,params_subsample,user_attrs_fold_auc,system_attrs_fixed_params,system_attrs_tpe:relative_params:0,state
13,0.9009865145208711,2026-09-08 13:39:08.121493,2026-09-08 13:39:13.526334,0 days 00:00:05.404841,0.8971199693595404,0.2803310879780233,0.059592154974660055,5,4.379988452037252,1000,3.734918591690598,23.746428901259097,1.5229859513427821,0.9476391759100531,"[0.904359915688382, 0.8977869967253322, 0.9050296626139392, 0.8967693574728849, 0.9009866401038163]",,"{""colsample_bytree"": 0.8971199693595404, ""gamma"": 0.2803310879780233, ""learning_rate"": 0.059592154974660055, ""max_depth"": 5, ""min_child_weight"": 4.379988452037252, ""n_estimators"": 1000, ""reg_alpha"": 3.734918591690598, ""reg_lambda"": 23.746428901259097, ""scale_pos_weight"": 1.5229859513427821, ""subsample"": 0.9476391759100531}",COMPLETE
14,0.8901371061452586,2026-09-08 13:39:13.530335,2026-09-08 13:39:16.254793,0 days 00:00:02.724458,0.8647100164221971,0.11193023332925818,0.04045873090852597,3,2.2579345946058087,600,0.04614969807861944,12.076842831308209,1.7993859483258858,0.9703682598171339,"[0.8948861653568587, 0.8885283085851666, 0.8932762880553888, 0.8854300032105418, 0.8885647655183372]",,"{""colsample_bytree"": 0.8647100164221971, ""gamma"": 0.11193023332925818, ""learning_rate"": 0.04045873090852597, ""max_depth"": 3, ""min_child_weight"": 2.2579345946058087, ""n_estimators"": 600, ""reg_alpha"": 0.04614969807861944, ""reg_lambda"": 12.076842831308209, ""scale_pos_weight"": 1.7993859483258858, ""subsample"": 0.9703682598171339}",COMPLETE
15,0.9030880943463233,2026-09-08 13:39:16.258796,2026-09-08 13:39:21.450475,0 days 00:00:05.191679,0.8740978716117498,0.24027362340152789,0.05530516241476222,3,4.2064108548383405,1100,0.17027323662865002,4.109014724084769,2.1757878742813417,0.8091713577701755,"[0.9075185304094139, 0.9005971042370285, 0.9067192451039239, 0.8975330476416478, 0.9030725443396024]",,"{""colsample_bytree"": 0.8740978716117498, ""gamma"": 0.24027362340152789, ""learning_rate"": 0.05530516241476222, ""max_depth"": 3, ""min_child_weight"": 4.2064108548383405, ""n_estimators"": 1100, ""reg_alpha"": 0.17027323662865002, ""reg_lambda"": 4.109014724084769, ""scale_pos_weight"": 2.1757878742813417, ""subsample"": 0.8091713577701755}",COMPLETE
16,0.9025360063956734,2026-09-08 13:39:21.454475,2026-09-08 13:39:24.437653,0 days 00:00:02.983178,0.8265114998850637,0.04075798630142989,0.055678693496119654,4,5.990337068990155,600,0.007335946868609965,3.605609115180562,1.8823691242384892,0.9686331247602395,"[0.9053275450522761, 0.8997492017073039, 0.9058124764443948, 0.8993255070562125, 0.9024653017181796]",,"{""colsample_bytree"": 0.8265114998850637, ""gamma"": 0.04075798630142989, ""learning_rate"": 0.055678693496119654, ""max_depth"": 4, ""min_child_weight"": 5.990337068990155, ""n_estimators"": 600, ""reg_alpha"": 0.007335946868609965, ""reg_lambda"": 3.605609115180562, ""scale_pos_weight"": 1.8823691242384892, ""subsample"": 0.9686331247602395}",COMPLETE
17,0.8972258664658368,2026-09-08 13:39:24.441653,2026-09-08 13:39:28.033563,0 days 00:00:03.591910,0.9127679848908913,0.30230660640693,0.03700410279698035,3,2.703438603493019,800,0.14548859428598962,2.1859946937802177,1.6153303374469667,0.9069043381593105,"[0.901484945350996, 0.8953977703903394, 0.9003107246053129, 0.8920892251427295, 0.8968466668398055]",,"{""colsample_bytree"": 0.9127679848908913, ""gamma"": 0.30230660640693, ""learning_rate"": 0.03700410279698035, ""max_depth"": 3, ""min_child_weight"": 2.703438603493019, ""n_estimators"": 800, ""reg_alpha"": 0.14548859428598962, ""reg_lambda"": 2.1859946937802177, ""scale_pos_weight"": 1.6153303374469667, ""subsample"": 0.9069043381593105}",COMPLETE
18,0.9028836080501798,2026-09-08 13:39:28.037564,2026-09-08 13:39:31.810954,0 days 00:00:03.773390,0.9245428585774492,0.2638184085462201,0.07568316721182534,3,2.032689107775593,800,0.040831557959357674,7.450373995656492,2.8588876026648253,0.8725891129261337,"[0.9068392914473961, 0.9002641392212414, 0.9069506832870364, 0.8979201273049596, 0.9024437989902655]",,"{""colsample_bytree"": 0.9245428585774492, ""gamma"": 0.2638184085462201, ""learning_rate"": 0.07568316721182534, ""max_depth"": 3, ""min_child_weight"": 2.032689107775593, ""n_estimators"": 800, ""reg_alpha"": 0.040831557959357674, ""reg_lambda"": 7.450373995656492, ""scale_pos_weight"": 2.8588876026648253, ""subsample"": 0.8725891129261337}",COMPLETE
19,0.901294621498731,2026-09-08 13:39:31.814954,2026-09-08 13:39:37.149885,0 days 00:00:05.334931,0.8638206070263242,0.10332234154172013,0.06327251629977272,3,8.690204083964895,1100,0.3650771483960933,20.30643871931443,2.2157374996307593,0.82683273896312,"[0.9043708036125574, 0.8983528697928165, 0.9058632867572133, 0.8967112885439494, 0.9011748587871176]",,"{""colsample_bytree"": 0.8638206070263242, ""gamma"": 0.10332234154172013, ""learning_rate"": 0.06327251629977272, ""max_depth"": 3, ""min_child_weight"": 8.690204083964895, ""n_estimators"": 1100, ""reg_alpha"": 0.3650771483960933, ""reg_lambda"": 20.30643871931443, ""scale_pos_weight"": 2.2157374996307593, ""subsample"": 0.82683273896312}",COMPLETE
20,0.9035222720471114,2026-09-08 13:39:37.154887,2026-09-08 13:39:42.587733,0 days 00:00:05.432846,0.79442596776343,0.1909709360597057,0.07487532635398317,3,6.220576292584086,1100,1.0898275606876047,11.114065813973667,2.5367858620681445,0.8608791132284714,"[0.9064319714122197, 0.9008241512113312, 0.9083747679336676, 0.8981713870936221, 0.9038090825847173]",,"{""colsample_bytree"": 0.79442596776343, ""gamma"": 0.1909709360597057, ""learning_rate"": 0.07487532635398317, ""max_depth"": 3, ""min_child_weight"": 6.220576292584086, ""n_estimators"": 1100, ""reg_alpha"": 1.0898275606876047, ""reg_lambda"": 11.114065813973667, ""scale_pos_weight"": 2.5367858620681445, ""subsample"": 0.8608791132284714}",COMPLETE
21,0.8943271587094866,2026-09-08 13:39:42.593734,2026-09-08 13:39:48.242912,0 days 00:00:05.649178,0.7384733800496099,0.1875383474357544,0.06779481159571393,2,5.5808099231964094,1200,7.252760663552082,11.884556358449382,2.1979142165846937,0.8891349782748683,"[0.8980323566772288, 0.8920438386261188, 0.8992216530102317, 0.888975278828571, 0.893362666405283]",,"{""colsample_bytree"": 0.7384733800496099, ""gamma"": 0.1875383474357544, ""learning_rate"": 0.06779481159571393, ""max_depth"": 2, ""min_child_weight"": 5.5808099231964094, ""n_estimators"": 1200, ""reg_alpha"": 7.252760663552082, ""reg_lambda"": 11.884556358449382, ""scale_pos_weight"": 2.1979142165846937, ""subsample"": 0.8891349782748683}",COMPLETE
22,0.8974419636286874,2026-09-08 13:39:48.247913,2026-09-08 13:39:52.289721,0 days 00:00:04.041808,0.7905850175230443,0.24154181083148946,0.09844681559839145,2,10.657453631664211,900,1.4661022530633072,8.543301846410728,1.886683228599404,0.847912902534637,"[0.9005363000600233, 0.8947190018082819, 0.9023462080710227, 0.8931964432781027, 0.8964118649260069]",,"{""colsample_bytree"": 0.7905850175230443, ""gamma"": 0.24154181083148946, ""learning_rate"": 0.09844681559839145, ""max_depth"": 2, ""min_child_weight"": 10.657453631664211, ""n_estimators"": 900, ""reg_alpha"": 1.4661022530633072, ""reg_lambda"": 8.543301846410728, ""scale_pos_weight"": 1.886683228599404, ""subsample"": 0.847912902534637}",COMPLETE
